Crash Year,Crash Month,Crash Day,Time of Day,City or Township,Crash: Intersection,Crash: Hit-and-Run,Lighting Conditions,Highway Class,Highway Number,Speed Limit at Crash Site,Weather Conditions (2016+),Worst Injury in Crash,Traffic Control,Trafficway,Crash Type,Total
2019,February,2,2:00 AM - 3:00 AM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Michigan route,M-102\US-102,35,Clear,Suspected serious injury (A),Signal,Not physically divided (two-way trafficway),Angle,1
2019,February,2,12:00 midnight - 1:00 AM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Michigan route,M-3,35,Clear,Suspected serious injury (A),Signal,Not physically divided (two-way trafficway),Other,1
2019,March,2,2:00 PM - 3:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Cloudy,Suspected minor injury (B),Signal,"Divided highway, median strip, without traffic barrier",Single motor vehicle,1
2019,April,2,10:00 AM - 11:00 AM,Wayne County: Woodhaven,Intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Possible injury (C),Stop sign,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,May,2,4:00 PM - 5:00 PM,Wayne County: Westland,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,40,Cloudy,Suspected serious injury (A),Signal,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,June,2,10:00 PM - 11:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark unlighted,"County road, city street, or unknown",Local road or unknown,30,Clear,No injury (O),None,"Divided highway, median strip, without traffic barrier",Other,1
2019,July,2,6:00 PM - 7:00 PM,Wayne County: Canton Twp.,Not intersection crash,Not hit-and-run,Daylight,Michigan route,M-153,Uncoded & errors,Rain,Possible injury (C),Stop sign,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,August,2,1:00 PM - 2:00 PM,Wayne County: Lincoln Park,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,August,2,8:00 AM - 9:00 AM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Michigan route,M-39,Uncoded & errors,Clear,Suspected serious injury (A),None,Not physically divided (two-way trafficway),Other,1
2019,August,2,7:00 AM - 8:00 AM,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Michigan route,M-5,35,Clear,Suspected serious injury (A),Signal,Not physically divided (two-way trafficway),Other,1
2019,September,2,1:00 AM - 2:00 AM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,25,Clear,No injury (O),None,"Two-way, with continuous left-turn lane",Sideswipe same direction,1
2019,October,2,4:00 PM - 5:00 PM,Wayne County: Redford Twp.,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,40,Rain,Possible injury (C),Signal,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,October,2,2:00 AM - 3:00 AM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Michigan route,M-102\US-102,40,Clear,Suspected serious injury (A),None,"Divided highway, median strip, with traffic barrier",Single motor vehicle,1
2019,November,2,9:00 PM - 10:00 PM,Wayne County: Canton Twp.,Not intersection crash,Not hit-and-run,Dark unlighted,"County road, city street, or unknown",Local road or unknown,45,Clear,Suspected serious injury (A),Signal,"Two-way, with continuous left-turn lane",Single motor vehicle,1
2019,November,2,8:00 AM - 9:00 AM,Wayne County: Westland,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Cloudy,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Other,1
2019,November,2,2:00 PM - 3:00 PM,Wayne County: Livonia,Not intersection crash,Not hit-and-run,Daylight,Michigan route,M-14\M-14old,45,Cloudy,Suspected minor injury (B),Signal,"Two-way, with continuous left-turn lane",Other,1
2019,November,2,1:00 AM - 2:00 AM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,Michigan route,M-5,35,Clear,Possible injury (C),None,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,December,2,6:00 PM - 7:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark unlighted,"County road, city street, or unknown",Local road or unknown,25,Clear,Possible injury (C),Stop sign,Not physically divided (two-way trafficway),Other,1
2019,January,3,12:00 noon - 1:00 PM,Wayne County: Hamtramck,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,January,3,7:00 PM - 8:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Michigan route,M-3,35,Clear,Possible injury (C),None,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,February,3,5:00 AM - 6:00 AM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,25,Clear,Suspected serious injury (A),Stop sign,Not physically divided (two-way trafficway),Other,1
2019,February,3,1:00 AM - 2:00 AM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,30,Clear,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Other,1
2019,March,3,8:00 PM - 9:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Michigan route,M-5,35,Snow,Suspected minor injury (B),Signal,Not physically divided (two-way trafficway),Other,1
2019,April,3,5:00 PM - 6:00 PM,Wayne County: Hamtramck,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,April,3,11:00 PM - 12:00 midnight,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,Michigan route,M-5,35,Cloudy,Possible injury (C),None,Not physically divided (two-way trafficway),Other,1
2019,April,3,12:00 noon - 1:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Michigan route,M-85,35,Clear,Possible injury (C),Signal,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,April,3,10:00 PM - 11:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,35,Clear,Suspected serious injury (A),Signal,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,May,3,7:00 AM - 8:00 AM,Wayne County: Redford Twp.,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Cloudy,Possible injury (C),None,Not physically divided (two-way trafficway),Angle,1
2019,May,3,12:00 noon - 1:00 PM,Wayne County: Plymouth,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Cloudy,Suspected serious injury (A),Signal,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,June,3,10:00 PM - 11:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,15,Clear,Possible injury (C),None,Not physically divided (two-way trafficway),Unknown,1
2019,July,3,7:00 PM - 8:00 PM,Wayne County: Dearborn,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,July,3,3:00 PM - 4:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,45,Clear,No injury (O),Signal,"Two-way, with continuous left-turn lane",Other,1
2019,August,3,3:00 PM - 4:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,30,Clear,Fatal injury (K),Signal,"Two-way, with continuous left-turn lane",Other,1
2019,October,3,10:00 AM - 11:00 AM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,U.S. route,M-12\US-12\US-12BL\US-12BR,35,Cloudy,Possible injury (C),Signal,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,November,3,12:00 midnight - 1:00 AM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,35,Clear,Suspected serious injury (A),Signal,Not physically divided (two-way trafficway),Other,1
2019,November,3,Unknown,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark unlighted,"County road, city street, or unknown",Local road or unknown,25,Unknown,Possible injury (C),None,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,November,3,2:00 PM - 3:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Michigan route,M-102\US-102,45,Clear,No injury (O),Signal,One-way trafficway,Other,1
2019,December,3,11:00 AM - 12:00 noon,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,Uncoded & errors,Clear,No injury (O),Signal,"Divided highway, median strip, without traffic barrier",Other,1
2019,December,3,11:00 AM - 12:00 noon,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,30,Clear,Possible injury (C),Signal,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,January,4,1:00 PM - 2:00 PM,Wayne County: Hamtramck,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Possible injury (C),Signal,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,January,4,5:00 PM - 6:00 PM,Wayne County: Dearborn Heights,Not intersection crash,Hit-and-run,Dark lighted,U.S. route,M-24\US-24\US-24BR,45,Clear,Suspected minor injury (B),None,"Divided highway, median strip, without traffic barrier",Other,1
2019,January,4,10:00 AM - 11:00 AM,Wayne County: Dearborn,Not intersection crash,Not hit-and-run,Daylight,U.S. route,M-12\US-12\US-12BL\US-12BR,35,Clear,Suspected minor injury (B),Signal,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,January,4,9:00 AM - 10:00 AM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,35,Clear,Possible injury (C),Signal,Not physically divided (two-way trafficway),Other,1
2019,March,4,8:00 PM - 9:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Connector,M-102\US-102,35,Clear,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,March,4,12:00 noon - 1:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,Uncoded & errors,Clear,Possible injury (C),Signal,Not physically divided (two-way trafficway),Other,1
2019,March,4,12:00 midnight - 1:00 AM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark unlighted,Michigan route,M-53,35,Clear,Possible injury (C),None,Not physically divided (two-way trafficway),Other,1
2019,May,4,9:00 AM - 10:00 AM,Wayne County: Canton Twp.,Not intersection crash,Hit-and-run,Daylight,U.S. route,M-12\US-12\US-12BL\US-12BR,55,Clear,Suspected minor injury (B),None,"Divided highway, median strip, with traffic barrier",Single motor vehicle,1
2019,May,4,4:00 PM - 5:00 PM,Wayne County: Trenton,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Suspected serious injury (A),None,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,June,4,12:00 noon - 1:00 PM,Wayne County: Dearborn,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Cloudy,Suspected serious injury (A),None,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,June,4,5:00 AM - 6:00 AM,Wayne County: Dearborn,Not intersection crash,Hit-and-run,Dawn,"County road, city street, or unknown",Local road or unknown,25,Clear,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Other,1
2019,July,4,10:00 PM - 11:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,Uncoded & errors,Clear,Possible injury (C),Stop sign,Not physically divided (two-way trafficway),Other,1
2019,September,4,7:00 AM - 8:00 AM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,35,Clear,No injury (O),None,Not physically divided (two-way trafficway),Other,1
2019,October,4,6:00 AM - 7:00 AM,Wayne County: Westland,Not intersection crash,Hit-and-run,Unknown,"County road, city street, or unknown",Local road or unknown,35,Unknown,Possible injury (C),None,Not physically divided (two-way trafficway),Other,1
2019,October,4,9:00 AM - 10:00 AM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,Michigan route,M-1,30,Clear,Possible injury (C),None,"Two-way, with continuous left-turn lane",Other,1
2019,October,4,9:00 PM - 10:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Michigan route,M-10\US-10\US-10BR,55,Cloudy,Suspected serious injury (A),None,"Divided highway, median strip, with traffic barrier",Unknown,1
2019,November,4,6:00 PM - 7:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dusk,"County road, city street, or unknown",Local road or unknown,35,Clear,Suspected minor injury (B),Signal,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,November,4,6:00 AM - 7:00 AM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,No injury (O),Signal,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,November,4,12:00 noon - 1:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,30,Cloudy,Suspected minor injury (B),Stop sign,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,November,4,7:00 PM - 8:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Michigan route,M-5,35,Clear,No injury (O),Signal,Not physically divided (two-way trafficway),Other,1
2019,December,4,10:00 PM - 11:00 PM,Wayne County: Wayne,Not intersection crash,Not hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,25,Rain,Possible injury (C),None,Not physically divided (two-way trafficway),Other,1
2019,December,4,2:00 PM - 3:00 PM,Wayne County: Hamtramck,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Cloudy,Suspected minor injury (B),Signal,Not physically divided (two-way trafficway),Other,1
2019,December,4,1:00 PM - 2:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,U.S. route,M-24\US-24\US-24BR,45,Clear,Fatal injury (K),Signal,"Divided highway, median strip, without traffic barrier",Single motor vehicle,1
2019,December,4,2:00 AM - 3:00 AM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,25,Clear,Suspected minor injury (B),None,One-way trafficway,Other,1
2019,January,5,2:00 AM - 3:00 AM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,Interstate route,M-75\I-75\I-75BL\I-75BS,75,Clear,Suspected minor injury (B),None,"Divided highway, median strip, with traffic barrier",Single motor vehicle,1
2019,January,5,2:00 PM - 3:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,30,Clear,No injury (O),Signal,"Divided highway, median strip, with traffic barrier",Other,1
2019,March,5,1:00 PM - 2:00 PM,Wayne County: Dearborn,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Cloudy,Suspected minor injury (B),Stop sign,"Divided highway, median strip, without traffic barrier",Single motor vehicle,1
2019,March,5,4:00 PM - 5:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,Michigan route,M-3,25,Clear,No injury (O),None,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,April,5,1:00 AM - 2:00 AM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,30,Rain,Fatal injury (K),Signal,Not physically divided (two-way trafficway),Other,1
2019,May,5,7:00 PM - 8:00 PM,Wayne County: Dearborn,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Possible injury (C),None,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,May,5,7:00 PM - 8:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Possible injury (C),None,Not physically divided (two-way trafficway),Other,1
2019,May,5,6:00 PM - 7:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,35,Clear,Possible injury (C),None,Not physically divided (two-way trafficway),Other,1
2019,May,5,11:00 PM - 12:00 midnight,Wayne County: Detroit,Intersection crash,Hit-and-run,Dusk,"County road, city street, or unknown",Local road or unknown,35,Clear,No injury (O),Signal,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,June,5,11:00 AM - 12:00 noon,Wayne County: Brownstown Twp.,Intersection crash,Not hit-and-run,Daylight,U.S. route,M-24\US-24\US-24BR,50,Clear,Possible injury (C),Signal,"Two-way, with continuous left-turn lane",Other,1
2019,July,5,7:00 PM - 8:00 PM,Wayne County: Hamtramck,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Possible injury (C),None,One-way trafficway,Single motor vehicle,1
2019,July,5,1:00 AM - 2:00 AM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,25,Clear,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,August,5,8:00 PM - 9:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Michigan route,M-102\US-102,35,Clear,Suspected serious injury (A),Signal,"Divided highway, median strip, with traffic barrier",Other,1
2019,September,5,5:00 PM - 6:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,30,Clear,Possible injury (C),Signal,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,October,5,8:00 AM - 9:00 AM,Wayne County: Dearborn Heights,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Unknown,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Other,1
2019,October,5,12:00 noon - 1:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Michigan route,M-5,35,Cloudy,Suspected minor injury (B),Signal,Not physically divided (two-way trafficway),Other,1
2019,October,5,6:00 PM - 7:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Michigan route,M-8\US-8,30,Clear,Possible injury (C),Signal,Not physically divided (two-way trafficway),Other,1
2019,October,5,Unknown,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Michigan route,M-3,35,Clear,Suspected minor injury (B),Stop sign,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,October,5,1:00 PM - 2:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,30,Cloudy,Possible injury (C),Signal,"Two-way, with continuous left-turn lane",Single motor vehicle,1
2019,October,5,9:00 PM - 10:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,35,Clear,Suspected minor injury (B),Signal,Not physically divided (two-way trafficway),Other,1
2019,December,5,3:00 PM - 4:00 PM,Wayne County: Redford Twp.,Not intersection crash,Not hit-and-run,Daylight,U.S. route,M-24\US-24\US-24BR,45,Clear,Suspected serious injury (A),None,"Divided highway, median strip, with traffic barrier",Single motor vehicle,1
2019,December,5,7:00 PM - 8:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Interstate route,M-75\I-75\I-75BL\I-75BS,35,Clear,No injury (O),Signal,Not physically divided (two-way trafficway),Other,1
2019,January,6,3:00 AM - 4:00 AM,Wayne County: Dearborn Heights,Not intersection crash,Not hit-and-run,Dark lighted,U.S. route,M-24\US-24\US-24BR,45,Clear,Suspected minor injury (B),None,"Divided highway, median strip, with traffic barrier",Rear-end,1
2019,January,6,10:00 PM - 11:00 PM,Wayne County: Dearborn Heights,Not intersection crash,Not hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,35,Clear,Suspected serious injury (A),Signal,Not physically divided (two-way trafficway),Other,1
