,year,month,day,timeofday,dayofweek,city,intersection,hit_and_run,lighting,weather,speed_limit,worst_injury,party_type,age,gender
14,2018,August,1,6:00 PM - 7:00 PM,Wednesday,Wayne County: Belleville,Intersection crash,Not hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,36,Male
15,2018,August,1,12:00 noon - 1:00 PM,Wednesday,Wayne County: Inkster,Intersection crash,Hit-and-run,Daylight,Clear,15,Possible injury (C),Motor vehicle driver,,Female
16,2018,August,1,5:00 PM - 6:00 PM,Wednesday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,Clear,,No injury (O),Motor vehicle driver,,
17,2018,August,1,11:00 PM - 12:00 midnight,Wednesday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Clear,,Fatal injury (K),Motor vehicle driver,,
18,2018,September,1,8:00 PM - 9:00 PM,Saturday,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Clear,35,Suspected minor injury (B),Motor vehicle driver,,
19,2018,October,1,7:00 AM - 8:00 AM,Monday,Wayne County: Livonia,Intersection crash,Not hit-and-run,Daylight,Rain,25,Suspected minor injury (B),Motor vehicle driver,17,Female
20,2018,October,1,2:00 PM - 3:00 PM,Monday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,45,Suspected minor injury (B),Motor vehicle driver,31,Male
21,2018,October,1,7:00 AM - 8:00 AM,Monday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Cloudy,30,Suspected minor injury (B),Motor vehicle driver,53,Male
22,2018,October,1,12:00 noon - 1:00 PM,Monday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,Rain,25,No injury (O),Motor vehicle driver,,
23,2018,October,1,7:00 AM - 8:00 AM,Monday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Rain,25,Possible injury (C),Motor vehicle driver,,
24,2018,November,1,9:00 AM - 10:00 AM,Thursday,Wayne County: Wyandotte,Intersection crash,Not hit-and-run,Daylight,Rain,25,Possible injury (C),Motor vehicle driver,21,Female
25,2018,November,1,7:00 PM - 8:00 PM,Thursday,Wayne County: Dearborn,Not intersection crash,Hit-and-run,Dark lighted,Rain,40,Suspected serious injury (A),Motor vehicle driver,,
26,2018,November,1,6:00 PM - 7:00 PM,Thursday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dusk,Rain,,Possible injury (C),Motor vehicle driver,69,Male
27,2018,November,1,7:00 AM - 8:00 AM,Thursday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,Rain,35,Possible injury (C),Motor vehicle driver,52,Female
28,2018,November,1,6:00 PM - 7:00 PM,Thursday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Rain,25,No injury (O),Motor vehicle driver,26,Female
29,2018,November,1,5:00 AM - 6:00 AM,Thursday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Rain,35,Fatal injury (K),Motor vehicle driver,58,Male
30,2018,November,1,2:00 PM - 3:00 PM,Thursday,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Rain,25,Possible injury (C),Motor vehicle driver,,
31,2018,December,1,11:00 AM - 12:00 noon,Saturday,Wayne County: Wyandotte,Intersection crash,Not hit-and-run,Daylight,Cloudy,25,No injury (O),Motor vehicle driver,59,Female
32,2018,December,1,7:00 PM - 8:00 PM,Saturday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,Rain,35,Possible injury (C),Motor vehicle driver,35,Male
33,2018,March,2,10:00 AM - 11:00 AM,Friday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,Cloudy,30,Possible injury (C),Motor vehicle driver,78,Male
34,2018,March,2,9:00 AM - 10:00 AM,Friday,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Clear,35,Possible injury (C),Motor vehicle driver,,
35,2018,April,2,12:00 noon - 1:00 PM,Monday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,35,Possible injury (C),Motor vehicle driver,63,Female
36,2018,April,2,11:00 PM - 12:00 midnight,Monday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Clear,25,Possible injury (C),Motor vehicle driver,,Female
37,2018,April,2,9:00 PM - 10:00 PM,Monday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Clear,35,Possible injury (C),Motor vehicle driver,,
38,2018,May,2,10:00 AM - 11:00 AM,Wednesday,Wayne County: Northville,Not intersection crash,Not hit-and-run,Daylight,Clear,25,No injury (O),Motor vehicle driver,60,Male
39,2018,July,2,7:00 PM - 8:00 PM,Monday,Wayne County: Hamtramck,Not intersection crash,Hit-and-run,Daylight,Clear,25,Suspected minor injury (B),Motor vehicle driver,,
40,2018,August,2,9:00 PM - 10:00 PM,Thursday,Wayne County: Redford Twp.,Intersection crash,Not hit-and-run,Dark lighted,Clear,45,Suspected minor injury (B),Motor vehicle driver,22,Female
41,2018,September,2,9:00 PM - 10:00 PM,Sunday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Clear,30,Suspected serious injury (A),Motor vehicle driver,,
42,2018,October,2,2:00 PM - 3:00 PM,Tuesday,Wayne County: Dearborn,Not intersection crash,Hit-and-run,Daylight,Cloudy,35,Suspected minor injury (B),Motor vehicle driver,,
43,2018,October,2,7:00 PM - 8:00 PM,Tuesday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Clear,35,Possible injury (C),Motor vehicle driver,70,Male
44,2018,October,2,5:00 PM - 6:00 PM,Tuesday,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Cloudy,30,Suspected minor injury (B),Motor vehicle driver,,
45,2018,November,2,6:00 PM - 7:00 PM,Friday,Wayne County: Van Buren Twp.,Not intersection crash,Hit-and-run,Dark lighted,Clear,,Possible injury (C),Motor vehicle driver,,
46,2018,November,2,8:00 AM - 9:00 AM,Friday,Wayne County: Southgate,Intersection crash,Not hit-and-run,Daylight,Cloudy,40,Possible injury (C),Motor vehicle driver,33,Female
47,2018,November,2,7:00 AM - 8:00 AM,Friday,Wayne County: Dearborn,Intersection crash,Not hit-and-run,Dark unlighted,Cloudy,40,Possible injury (C),Motor vehicle driver,51,Male
48,2018,November,2,12:00 noon - 1:00 PM,Friday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Rain,25,Possible injury (C),Motor vehicle driver,,
49,2018,November,2,9:00 PM - 10:00 PM,Friday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Rain,,Possible injury (C),Motor vehicle driver,73,Male
50,2018,November,2,4:00 PM - 5:00 PM,Friday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,Clear,40,Possible injury (C),Motor vehicle driver,,Male
51,2018,November,2,2:00 AM - 3:00 AM,Friday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Clear,25,Suspected serious injury (A),Motor vehicle driver,,
52,2018,December,2,5:00 PM - 6:00 PM,Sunday,Wayne County: Hamtramck,Intersection crash,Hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,,
53,2018,December,2,4:00 AM - 5:00 AM,Sunday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Rain,,Possible injury (C),Motor vehicle driver,26,Male
54,2018,February,3,2:00 AM - 3:00 AM,Saturday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Clear,25,Fatal injury (K),Motor vehicle driver,,
55,2018,February,3,2:00 AM - 3:00 AM,Saturday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark unlighted,Clear,35,Possible injury (C),Motor vehicle driver,,
56,2018,March,3,11:00 PM - 12:00 midnight,Saturday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Clear,35,Suspected serious injury (A),Motor vehicle driver,,
57,2018,April,3,12:00 noon - 1:00 PM,Tuesday,Wayne County: Plymouth Twp.,Intersection crash,Not hit-and-run,Daylight,Cloudy,25,Suspected serious injury (A),Motor vehicle driver,57,Female
58,2018,April,3,7:00 PM - 8:00 PM,Tuesday,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Rain,25,Possible injury (C),Motor vehicle driver,,Male
59,2018,May,3,4:00 PM - 5:00 PM,Thursday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,Rain,25,Possible injury (C),Motor vehicle driver,46,Male
60,2018,June,3,1:00 PM - 2:00 PM,Sunday,Wayne County: Lincoln Park,Intersection crash,Not hit-and-run,Daylight,Clear,40,Suspected serious injury (A),Motor vehicle driver,61,Male
61,2018,June,3,6:00 PM - 7:00 PM,Sunday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,30,Possible injury (C),Motor vehicle driver,20,Male
62,2018,July,3,11:00 AM - 12:00 noon,Tuesday,Wayne County: Dearborn,Not intersection crash,Hit-and-run,Unknown,Unknown,20,Possible injury (C),Motor vehicle driver,,
63,2018,August,3,6:00 PM - 7:00 PM,Friday,Wayne County: Lincoln Park,Intersection crash,Hit-and-run,Daylight,Clear,25,No injury (O),Motor vehicle driver,,
64,2018,September,3,8:00 PM - 9:00 PM,Monday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dusk,Clear,25,Suspected serious injury (A),Motor vehicle driver,53,Male
65,2018,September,3,10:00 PM - 11:00 PM,Monday,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Clear,35,No injury (O),Motor vehicle driver,,
66,2018,September,3,1:00 AM - 2:00 AM,Monday,Wayne County: Detroit,Intersection crash,Hit-and-run,Unknown,Unknown,25,Suspected minor injury (B),Motor vehicle driver,,
67,2018,October,3,8:00 AM - 9:00 AM,Wednesday,Wayne County: Southgate,Intersection crash,Not hit-and-run,Daylight,Cloudy,25,Possible injury (C),Motor vehicle driver,41,Male
68,2018,November,3,2:00 AM - 3:00 AM,Saturday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Clear,25,Possible injury (C),Motor vehicle driver,29,Female
69,2018,November,3,8:00 PM - 9:00 PM,Saturday,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Clear,30,Possible injury (C),Motor vehicle driver,,
70,2018,December,3,2:00 PM - 3:00 PM,Monday,Wayne County: Hamtramck,Not intersection crash,Not hit-and-run,Daylight,Cloudy,25,Suspected minor injury (B),Motor vehicle driver,18,Male
71,2018,December,3,7:00 PM - 8:00 PM,Monday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,Clear,30,Fatal injury (K),Motor vehicle driver,76,Male
72,2018,December,3,5:00 PM - 6:00 PM,Monday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dusk,Snow,30,Suspected serious injury (A),Motor vehicle driver,86,Male
73,2018,December,3,8:00 AM - 9:00 AM,Monday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Clear,35,Possible injury (C),Motor vehicle driver,18,Female
74,2018,December,3,2:00 AM - 3:00 AM,Monday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Clear,25,Suspected serious injury (A),Motor vehicle driver,,
75,2018,January,4,12:00 noon - 1:00 PM,Thursday,Wayne County: Grosse Pointe,Intersection crash,Not hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,53,Female
76,2018,January,4,5:00 PM - 6:00 PM,Thursday,Wayne County: Grosse Pointe Park,Intersection crash,Not hit-and-run,Unknown,Unknown,35,Possible injury (C),Motor vehicle driver,60,Female
77,2018,March,4,2:00 AM - 3:00 AM,Sunday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,Clear,55,Fatal injury (K),Motor vehicle driver,21,Female
78,2018,March,4,2:00 AM - 3:00 AM,Sunday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,Clear,55,Fatal injury (K),Motor vehicle driver,41,Female
79,2018,April,4,10:00 AM - 11:00 AM,Wednesday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Cloudy,25,Possible injury (C),Motor vehicle driver,49,Male
80,2018,May,4,7:00 PM - 8:00 PM,Friday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,Clear,35,No injury (O),Motor vehicle driver,,
81,2018,June,4,10:00 PM - 11:00 PM,Monday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Unknown,Clear,30,Suspected minor injury (B),Motor vehicle driver,53,Male
82,2018,June,4,5:00 PM - 6:00 PM,Monday,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Clear,30,Possible injury (C),Motor vehicle driver,,
83,2018,July,4,8:00 PM - 9:00 PM,Wednesday,Wayne County: Dearborn Heights,Not intersection crash,Hit-and-run,Daylight,Clear,40,Suspected minor injury (B),Motor vehicle driver,33,Male
84,2018,August,4,2:00 AM - 3:00 AM,Saturday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Clear,35,Fatal injury (K),Motor vehicle driver,19,Male
85,2018,August,4,5:00 PM - 6:00 PM,Saturday,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Clear,35,Possible injury (C),Motor vehicle driver,,
86,2018,August,4,12:00 midnight - 1:00 AM,Saturday,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Clear,25,Possible injury (C),Motor vehicle driver,,Male
87,2018,August,4,11:00 PM - 12:00 midnight,Saturday,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Clear,,No injury (O),Motor vehicle driver,,
88,2018,September,4,6:00 PM - 7:00 PM,Tuesday,Wayne County: Lincoln Park,Intersection crash,Not hit-and-run,Daylight,Clear,40,Suspected minor injury (B),Motor vehicle driver,58,Female
89,2018,September,4,4:00 PM - 5:00 PM,Tuesday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,Clear,30,Possible injury (C),Motor vehicle driver,27,Male
90,2018,September,4,3:00 PM - 4:00 PM,Tuesday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,30,Fatal injury (K),Motor vehicle driver,37,Male
91,2018,September,4,8:00 AM - 9:00 AM,Tuesday,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Clear,,Possible injury (C),Motor vehicle driver,,
92,2018,October,4,2:00 AM - 3:00 AM,Thursday,Wayne County: Dearborn Heights,Not intersection crash,Hit-and-run,Dark lighted,Rain,40,Suspected minor injury (B),Motor vehicle driver,30,Male
93,2018,October,4,8:00 AM - 9:00 AM,Thursday,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Clear,35,No injury (O),Motor vehicle driver,,
94,2018,November,4,6:00 PM - 7:00 PM,Sunday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dusk,Clear,35,Possible injury (C),Motor vehicle driver,59,Male
95,2018,December,4,7:00 PM - 8:00 PM,Tuesday,Wayne County: Hamtramck,Not intersection crash,Hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,,
96,2018,December,4,5:00 PM - 6:00 PM,Tuesday,Wayne County: Livonia,Intersection crash,Not hit-and-run,Dark unlighted,Clear,25,Suspected minor injury (B),Motor vehicle driver,21,Male
97,2018,December,4,2:00 PM - 3:00 PM,Tuesday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,Clear,55,Suspected minor injury (B),Motor vehicle driver,28,Female
98,2018,December,4,7:00 AM - 8:00 AM,Tuesday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Cloudy,25,No injury (O),Motor vehicle driver,45,Male
99,2018,December,4,12:00 midnight - 1:00 AM,Tuesday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Clear,25,Suspected minor injury (B),Motor vehicle driver,,Female
100,2018,December,4,7:00 AM - 8:00 AM,Tuesday,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Cloudy,35,Possible injury (C),Motor vehicle driver,,
101,2018,January,5,11:00 AM - 12:00 noon,Friday,Wayne County: Taylor,Intersection crash,Not hit-and-run,Daylight,Clear,5,Possible injury (C),Motor vehicle driver,46,Male
102,2018,February,5,7:00 PM - 8:00 PM,Monday,Wayne County: Allen Park,Not intersection crash,Not hit-and-run,Dark lighted,Clear,15,Suspected serious injury (A),Motor vehicle driver,48,Female
103,2018,February,5,1:00 PM - 2:00 PM,Monday,Wayne County: Lincoln Park,Intersection crash,Not hit-and-run,Daylight,Clear,40,Suspected minor injury (B),Motor vehicle driver,26,Female
104,2018,February,5,5:00 PM - 6:00 PM,Monday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Clear,35,Suspected minor injury (B),Motor vehicle driver,,
105,2018,February,5,7:00 AM - 8:00 AM,Monday,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Snow,25,Possible injury (C),Motor vehicle driver,,
106,2018,March,5,7:00 PM - 8:00 PM,Monday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Unknown,Clear,25,Suspected serious injury (A),Motor vehicle driver,20,Female
107,2018,March,5,6:00 PM - 7:00 PM,Monday,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Clear,35,Possible injury (C),Motor vehicle driver,,
108,2018,May,5,3:00 PM - 4:00 PM,Saturday,Wayne County: Hamtramck,Not intersection crash,Not hit-and-run,Daylight,Clear,25,Suspected minor injury (B),Motor vehicle driver,33,Female
109,2018,May,5,6:00 PM - 7:00 PM,Saturday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,28,Female
110,2018,May,5,1:00 PM - 2:00 PM,Saturday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,Clear,35,Suspected minor injury (B),Motor vehicle driver,,
111,2018,May,5,3:00 AM - 4:00 AM,Saturday,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Clear,25,Possible injury (C),Motor vehicle driver,,
112,2018,June,5,4:00 PM - 5:00 PM,Tuesday,Wayne County: Dearborn,Not intersection crash,Not hit-and-run,Daylight,Clear,25,Suspected serious injury (A),Motor vehicle driver,22,Male
113,2018,June,5,9:00 PM - 10:00 PM,Tuesday,Wayne County: Dearborn,Not intersection crash,Hit-and-run,Daylight,Clear,25,Suspected minor injury (B),Motor vehicle driver,19,Male
114,2018,June,5,4:00 AM - 5:00 AM,Tuesday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,Rain,70,Suspected minor injury (B),Motor vehicle driver,26,Male
115,2018,June,5,4:00 AM - 5:00 AM,Tuesday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,Rain,70,Suspected minor injury (B),Motor vehicle driver,36,Male
116,2018,July,5,7:00 PM - 8:00 PM,Thursday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,Cloudy,25,No injury (O),Motor vehicle driver,20,Female
117,2018,July,5,5:00 PM - 6:00 PM,Thursday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,30,No injury (O),Motor vehicle driver,49,Male
118,2018,July,5,12:00 midnight - 1:00 AM,Thursday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Clear,25,Suspected minor injury (B),Motor vehicle driver,,
119,2018,July,5,1:00 AM - 2:00 AM,Thursday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Clear,25,No injury (O),Motor vehicle driver,,
120,2018,August,5,7:00 PM - 8:00 PM,Sunday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,Clear,25,No injury (O),Motor vehicle driver,,
121,2018,August,5,2:00 AM - 3:00 AM,Sunday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Clear,35,Suspected serious injury (A),Motor vehicle driver,44,Female
122,2018,September,5,9:00 AM - 10:00 AM,Wednesday,Wayne County: Garden City,Intersection crash,Hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,,Female
123,2018,September,5,9:00 PM - 10:00 PM,Wednesday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark unlighted,Clear,25,Suspected minor injury (B),Motor vehicle driver,,
124,2018,October,5,8:00 PM - 9:00 PM,Friday,Wayne County: Plymouth Twp.,Not intersection crash,Not hit-and-run,Dark lighted,Clear,70,Fatal injury (K),Motor vehicle driver,29,Male
125,2018,October,5,8:00 PM - 9:00 PM,Friday,Wayne County: Plymouth Twp.,Not intersection crash,Not hit-and-run,Dark lighted,Clear,70,Fatal injury (K),Motor vehicle driver,,
126,2018,October,5,8:00 AM - 9:00 AM,Friday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,25,No injury (O),Motor vehicle driver,23,Female
127,2018,December,5,7:00 AM - 8:00 AM,Wednesday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Clear,35,Possible injury (C),Motor vehicle driver,21,Male
128,2018,January,6,9:00 AM - 10:00 AM,Saturday,Wayne County: Inkster,Not intersection crash,Not hit-and-run,Daylight,Snow,40,Possible injury (C),Motor vehicle driver,19,Female
129,2018,January,6,2:00 PM - 3:00 PM,Saturday,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Clear,30,No injury (O),Motor vehicle driver,,Female
130,2018,February,6,9:00 AM - 10:00 AM,Tuesday,Wayne County: Dearborn,Not intersection crash,Not hit-and-run,Daylight,Cloudy,35,Suspected minor injury (B),Motor vehicle driver,18,Female
131,2018,February,6,9:00 AM - 10:00 AM,Tuesday,Wayne County: Dearborn,Not intersection crash,Not hit-and-run,Daylight,Cloudy,35,Suspected minor injury (B),Motor vehicle driver,19,Female
132,2018,February,6,9:00 AM - 10:00 AM,Tuesday,Wayne County: Dearborn,Not intersection crash,Not hit-and-run,Daylight,Cloudy,35,Suspected minor injury (B),Motor vehicle driver,23,Female
133,2018,February,6,8:00 PM - 9:00 PM,Tuesday,Wayne County: Livonia,Intersection crash,Not hit-and-run,Dark lighted,Cloudy,45,Possible injury (C),Motor vehicle driver,40,Male
134,2018,February,6,4:00 PM - 5:00 PM,Tuesday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,35,Possible injury (C),Motor vehicle driver,20,Female
135,2018,February,6,10:00 AM - 11:00 AM,Tuesday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,Snow,30,Suspected serious injury (A),Motor vehicle driver,,
136,2018,April,6,12:00 noon - 1:00 PM,Friday,Wayne County: Livonia,Intersection crash,Not hit-and-run,Daylight,Cloudy,40,Possible injury (C),Motor vehicle driver,73,Male
137,2018,April,6,7:00 AM - 8:00 AM,Friday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dawn,Snow,30,Suspected serious injury (A),Motor vehicle driver,33,Female
138,2018,April,6,5:00 PM - 6:00 PM,Friday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,30,Suspected minor injury (B),Motor vehicle driver,45,Female
139,2018,May,6,4:00 PM - 5:00 PM,Sunday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,30,Suspected serious injury (A),Motor vehicle driver,31,Female
140,2018,June,6,12:00 midnight - 1:00 AM,Wednesday,Wayne County: Romulus,Not intersection crash,Hit-and-run,Dark unlighted,Clear,45,Suspected minor injury (B),Motor vehicle driver,19,Female
141,2018,June,6,12:00 midnight - 1:00 AM,Wednesday,Wayne County: Romulus,Not intersection crash,Hit-and-run,Dark unlighted,Clear,45,Suspected minor injury (B),Motor vehicle driver,,
142,2018,June,6,12:00 noon - 1:00 PM,Wednesday,Wayne County: Highland Park,Not intersection crash,Not hit-and-run,Daylight,Clear,35,Suspected minor injury (B),Motor vehicle driver,35,Female
143,2018,June,6,11:00 AM - 12:00 noon,Wednesday,Wayne County: Inkster,Intersection crash,Not hit-and-run,Daylight,Clear,40,Suspected minor injury (B),Motor vehicle driver,53,Female
144,2018,June,6,7:00 AM - 8:00 AM,Wednesday,Wayne County: Westland,Intersection crash,Not hit-and-run,Daylight,Clear,40,Suspected minor injury (B),Motor vehicle driver,59,Female
145,2018,June,6,7:00 PM - 8:00 PM,Wednesday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,30,Suspected minor injury (B),Motor vehicle driver,25,Female
146,2018,June,6,2:00 PM - 3:00 PM,Wednesday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,35,Possible injury (C),Motor vehicle driver,31,Male
147,2018,June,6,1:00 PM - 2:00 PM,Wednesday,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Clear,30,Suspected minor injury (B),Motor vehicle driver,49,Male
148,2018,June,6,11:00 PM - 12:00 midnight,Wednesday,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Clear,35,Suspected minor injury (B),Motor vehicle driver,,
149,2018,July,6,7:00 PM - 8:00 PM,Friday,Wayne County: Lincoln Park,Not intersection crash,Not hit-and-run,Daylight,Clear,40,Suspected minor injury (B),Motor vehicle driver,21,Female
150,2018,July,6,9:00 PM - 10:00 PM,Friday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Clear,35,No injury (O),Motor vehicle driver,,
